rid,name,img,city,area,location,description,rating
14,White Spice,restaurant/res14.png,Lonavala,Old Mumbai Highway,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1709.4365236919855!2d73.40634279687299!3d18.754533165989958!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc2b1990f883b75%3A0x643b0f645f5178bd!2sWhite%20Spice%20(Restaurant%20%26%20Coffee%20Shop)!5e1!3m2!1sen!2sin!4v1709736791795!5m2!1sen!2sin,"Welcome to White Spice, where culinary excellence meets modern sophistication. Located in the heart of [Location], our restaurant offers a vibrant and contemporary dining experience that promises to tantalize your taste buds.

At White Spice, we are passionate about creating memorable culinary experiences, and our menu reflects our commitment to quality and innovation. From innovative fusion dishes to traditional favorites with a twist, each creation is crafted with the finest ingredients and culinary expertise to ensure a truly exceptional dining experience.",4.1
13,Rama Krishna Veg & Non Vegetarian,restaurant/res13.jpg,Lonavala,OOld Mumbai Highway,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4065.701864023369!2d73.40401587394815!3d18.75645425023615!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be801107322e503%3A0xe6da90f5f3dfc9ce!2sRama%20Krishna%20Veg%20%26%20Non%20Vegetarian!5e1!3m2!1sen!2sin!4v1709736717612!5m2!1sen!2sin,"Welcome to Rama Krishna Veg & Non Vegetarian, where culinary excellence meets a delightful fusion of flavors. Nestled in the heart of [Location], our restaurant offers a vibrant dining experience that caters to both vegetarians and non-vegetarians alike.

Explore our diverse menu, thoughtfully curated to satisfy every palate. From aromatic vegetarian curries and wholesome lentil dishes to succulent non-vegetarian specialties and flavorful biryanis, each dish is prepared with the finest ingredients and traditional techniques to ensure an unforgettable dining experience.",4.1
12,Sawant Bandhu,restaurant/res12.jpg,Matheran,Mg Road,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d426.77198152631314!2d73.2700416653664!3d18.98500633212866!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7eff8b149c99f%3A0xdd09ce5913244b56!2sSawant%20Bandhu!5e1!3m2!1sen!2sin!4v1709736476072!5m2!1sen!2sin,"Sawant Bandhu extends a heartfelt welcome to all connoisseurs of great taste. Situated in the heart of [Location], our restaurant promises an unforgettable culinary journey through the flavors of India.

Experience the essence of Indian cuisine as you delve into our carefully crafted menu, showcasing a delightful array of dishes that capture the rich heritage and diversity of Indian gastronomy. From aromatic curries and sizzling tandoori delights to mouthwatering biryanis and delectable desserts, each offering is a testament to our commitment to quality and authenticity.",5.0
11,Hemlata Restaurant,restaurant/res11.jpg,Matheran,Echo Point,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1435.4803420347682!2d73.26096226371517!3d18.985444355328784!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7eff784f07277%3A0xda2fa2e076304b0e!2sHemlata%20Restaurant!5e1!3m2!1sen!2sin!4v1709736351715!5m2!1sen!2sin,"Hemlata Restaurant warmly welcomes you to indulge in a culinary journey that celebrates the rich flavors and heritage of Indian cuisine. Situated in the heart of [Location], our restaurant offers a vibrant and inviting ambiance for diners to enjoy a memorable dining experience.

Discover the essence of Indian gastronomy as you explore our diverse menu, thoughtfully curated to tantalize your taste buds. From aromatic curries and succulent kebabs to tantalizing biryanis and delightful desserts, each dish is prepared with care and precision to deliver an authentic culinary delight.",3.5
10,China Town Matheran,restaurant/res10.jpg,Matheran,MG Road,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15090.75420483046!2d73.2704202953421!3d18.9893573208883!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7efb561567009%3A0x99ebf8f384ae1a3b!2sChina%20Town%20Matheran!5e0!3m2!1sen!2sin!4v1709736182457!5m2!1sen!2sin,"Welcome to China Town Matheran, where the exotic flavors of China meet the serene ambiance of Matheran. Nestled amidst the picturesque landscapes of [Location], our restaurant offers a culinary journey through the heart of China.

Prepare to be delighted as you explore our menu, meticulously crafted to showcase the diverse and vibrant flavors of Chinese cuisine. From traditional favorites like dim sum and fried rice to modern interpretations of classic dishes, each bite is a celebration of authenticity and innovation.",3.6
9,Continental cafeteria,restaurant/res9.jpg,Matheran,Charlotte Lake,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d603.5644627274453!2d73.2613921259209!3d18.98011104833425!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7e5a548764ef3%3A0x26dce7e4a77c919!2sContinental%20cafeteria!5e1!3m2!1sen!2sin!4v1709735079223!5m2!1sen!2sin,"Welcome to Continental Cafeteria, where the flavors of Europe come alive in a cozy and inviting setting. Situated in the heart of [Location], our cafeteria offers a delightful escape for those craving a taste of the continent.

Immerse yourself in the charming ambiance as you savor a diverse array of European-inspired dishes crafted with care and creativity. From hearty sandwiches and savory quiches to delicate pastries and aromatic coffees, our menu showcases the best of European cuisine.",4.5
8,Shalimar,restaurant/res8.jpg,Matheran,MG Road,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d253.75592240272235!2d73.2707923974115!3d18.98777309831761!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7efde66c12b9d%3A0xbaca88ba04586a03!2sShalimar!5e1!3m2!1sen!2sin!4v1709734943673!5m2!1sen!2sin,"Welcome to Shalimar, where every visit promises a journey through the rich flavors and culinary traditions of India. Nestled in the heart of [Location], our restaurant is a cherished destination for those seeking an authentic dining experience.

Step into our inviting ambiance and prepare to be transported to the vibrant streets of India, where the aroma of spices fills the air and the sizzle of Tandoori delights tantalizes the senses. Our menu features a tantalizing array of dishes, each lovingly prepared using time-honored recipes and the finest ingredients.",4.1
7,Misty Matheran Resorts,restaurant/res7.jpeg,Matheran,MG Road,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d507.51256812844076!2d73.27020152938279!3d18.98753577487724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7eff93160514f%3A0xfe13525a60409f18!2sMisty%20Matheran%20Resorts!5e1!3m2!1sen!2sin!4v1709734837213!5m2!1sen!2sin,"Misty Matheran Resorts welcomes you to a haven of tranquility nestled amidst the pristine beauty of Matheran. Our resort is a serene retreat where nature's splendor meets luxury, offering an escape from the hustle and bustle of city life.

Embrace the breathtaking views of lush greenery and mist-kissed mountains as you indulge in a truly immersive experience. Our resort boasts well-appointed accommodations, world-class amenities, and warm hospitality to ensure a memorable stay for every guest.",3.8
6,Hirkani Garden Restaurant,restaurant/res6.jpeg,Mahabaleshwar,Venna Lake,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2042.540254611449!2d73.66909652678795!3d17.93487176004784!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc2654695ebffff%3A0xfa64b7c8dc1054f!2sHirkani%20Garden%20restaurant!5e1!3m2!1sen!2sin!4v1709734700459!5m2!1sen!2sin,"Hirkani Garden Restaurant invites you to experience culinary excellence amidst the tranquility of nature. Nestled in the lush surroundings of [Location], our restaurant offers a serene retreat where gastronomy meets relaxation.

Our menu is a harmonious blend of traditional flavors and contemporary twists, crafted with the freshest ingredients to tantalize your taste buds. From mouthwatering appetizers to flavorful mains and delectable desserts, each dish is a celebration of culinary artistry and regional authenticity.",3.8
5,Sonali Pride of Dining Restaurant,restaurant/res5.jpeg,Mahabaleshwar,Polo Ground,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2888.812030761231!2d73.6393466606449!3d17.92114524979251!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc27b7341128285%3A0x1795c48a327814a9!2sSonali%20Pride%20of%20Dining%20Restaurant!5e1!3m2!1sen!2sin!4v1709733924486!5m2!1sen!2sin,"Sonali Pride of Dining Restaurant offers a culinary experience that transcends mere dining. Nestled in the heart of [Location], our restaurant boasts a blend of exquisite flavors, warm hospitality, and a vibrant ambiance.

Our menu is carefully crafted to delight discerning palates, featuring a fusion of traditional and contemporary dishes inspired by local flavors and global cuisine. Each dish is meticulously prepared using fresh, high-quality ingredients to ensure a memorable dining experience.",4.7
4,Meghdoot Restaurant,restaurant/res4.jpeg,Mahabaleshwar,MG Road,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1444.3789046209881!2d73.65787115937748!3d17.924470295790677!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc2655229cad307%3A0xcecb02b8e911814e!2sMeghdoot%20Restaurant!5e1!3m2!1sen!2sin!4v1709734068239!5m2!1sen!2sin,"Meghdoot Restaurant invites you to embark on a gastronomic journey like no other. Situated in the heart of [Location], our establishment is a culinary haven where every dish tells a story of flavor, tradition, and innovation.

Steeped in rich heritage, our menu is a fusion of authentic recipes passed down through generations and contemporary culinary creations. From tantalizing appetizers to sumptuous main courses and decadent desserts, each dish is a masterpiece crafted with care and passion.",3.7
3,Little Italy Restaurant,restaurant/res3.jpeg,Mahabaleshwar,Satara Road,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d858.8306834707885!2d73.6620281438145!3d17.92491405276467!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc27ab6aa9ece07%3A0xc2212434a0d6db64!2sLittle%20Italy%20Restaurant%2C%20Mahabaleshwar!5e1!3m2!1sen!2sin!4v1709734282938!5m2!1sen!2sin,"Welcome to Little Italy Restaurant, where every meal is a celebration of authentic flavors and cherished traditions. Nestled in the heart of [Location], our establishment offers a charming and inviting atmosphere that sets the stage for unforgettable dining experiences.

Inspired by the rustic charm and culinary richness of Italy, our menu features a delectable array of dishes crafted with the finest ingredients and prepared with passion and expertise. From classic pasta dishes bursting with flavor to mouthwatering pizzas straight from the wood-fired oven, each bite is a journey to the heart of Italy.",3.8
2,Gurukripa Garden Kitchen and Dining,restaurant/res2.jpeg,Mahabaleshwar,Satara Road,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1214.5512161542422!2d73.65843610579095!3d17.927653257816793!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc265e237a4618f%3A0x90b843de301289aa!2sGurukripa%20Garden%20Kitchen%20and%20Dining!5e1!3m2!1sen!2sin!4v1709734422689!5m2!1sen!2sin,"Gurukripa Garden Kitchen and Dining is more than just a restaurant—it's a culinary sanctuary nestled amidst the serene beauty of [Location]. Our establishment offers a tranquil escape where food lovers can indulge in a delightful fusion of flavors, surrounded by lush greenery and tranquil ambience.

Our menu is a testament to the rich culinary heritage of India, featuring a diverse array of dishes that celebrate the vibrant tapestry of regional cuisines. From traditional favorites to innovative creations, each dish is crafted with love and care using the freshest ingredients sourced locally.",4.5
1,CREAM CORNER,restaurant/res1.jpeg,Mahabaleshwar,Venna Lake,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2042.5636437054156!2d73.66798651047651!3d17.93284456525364!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc2656a98e7e103%3A0xcc08b81f7b011d65!2sCREAM%20CORNER!5e1!3m2!1sen!2sin!4v1709734576168!5m2!1sen!2sin,"Welcome to Cream Corner, where sweetness meets creativity in every bite. Situated in the heart of [Location], our charming corner is a delightful destination for dessert enthusiasts and ice cream aficionados alike.

At Cream Corner, we take pride in offering a tantalizing array of sweet treats that are sure to satisfy every craving. From artisanal ice cream flavors bursting with freshness to decadent desserts that are as beautiful as they are delicious, each creation is a masterpiece crafted with passion and precision.",4.3
